,mean,std,sharpe,hit_rate,turnover
IS,0.003815938049200445,0.014706951923557992,4.118877854128803,0.5872170439414115,
OOS,0.003982024817615932,0.016868063521157252,3.747477249662252,0.5841184387617766,
Equal-Weight,0.0013434650731447126,0.013496662681137151,1.5801570636909317,0.5572005383580081,
SPY,0.0008685575633576024,0.010045383606713802,1.3725632003456332,0.5539083557951483,
Turnover,,,,,0.31763122476446837
